0000.001 (0) Opened log file at time: Fri, 26 May 2023 09:53:16 +0000 on http://ecommerce.test
0000.004 (0) UpdraftPlus WordPress backup plugin (https://updraftplus.com): 1.23.4 WP: 6.2.2 PHP: 8.2.0 (apache2handler, Windows NT SJI-GOA-65 10.0 build 22621 (Windows 11) AMD64) MySQL: 10.4.27-MariaDB (max packet size=1048576) WPLANG: en_US Server: Apache/2.4.54 (Win64) OpenSSL/1.1.1p PHP/8.2.0 safe_mode: 0 max_execution_time: 900 memory_limit: 512M (used: 105.6M | 108M) multisite: N openssl: OpenSSL 3.0.7 1 Nov 2022 mcrypt: N LANG:  ZipArchive::addFile: N
0000.006 (0) Free space on disk containing Updraft's temporary directory: 371883.2 MB
0000.011 (0) Tasks: Backup files: 1 (schedule: weekly) Backup DB: 1 (schedule: weekly)
0000.020 (0) Requesting semaphore lock (fd) (apparently not via scheduler)
0000.024 (0) Semaphore (fd, wp_options) was stuck, set lock time to 2023-05-26 09:53:16
0000.027 (0) Semaphore (fd, wp_options) reset to 1
0000.029 (0) Set semaphore last lock (fd) time to 2023-05-26 09:53:16
0021.023 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 2700 files added (on-disk size: 0 KB)
0021.092 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 2800 files added (on-disk size: 0 KB)
0021.177 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 2900 files added (on-disk size: 0 KB)
0021.270 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 3000 files added (on-disk size: 0 KB)
0021.345 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 3100 files added (on-disk size: 0 KB)
0021.402 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 3200 files added (on-disk size: 0 KB)
0021.463 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 3300 files added (on-disk size: 0 KB)
0021.544 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 3400 files added (on-disk size: 0 KB)
0021.600 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 3500 files added (on-disk size: 0 KB)
0021.669 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 3600 files added (on-disk size: 0 KB)
0021.753 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 3700 files added (on-disk size: 0 KB)
0021.814 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 3800 files added (on-disk size: 0 KB)
0021.885 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 3900 files added (on-disk size: 0 KB)
0021.957 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 4000 files added (on-disk size: 0 KB)
0022.035 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 4100 files added (on-disk size: 0 KB)
0022.100 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 4200 files added (on-disk size: 0 KB)
0022.153 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 4300 files added (on-disk size: 0 KB)
0022.244 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 4400 files added (on-disk size: 0 KB)
0022.327 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 4500 files added (on-disk size: 0 KB)
0022.414 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 4600 files added (on-disk size: 0 KB)
0022.507 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 4700 files added (on-disk size: 0 KB)
0022.599 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 4800 files added (on-disk size: 0 KB)
0022.688 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 4900 files added (on-disk size: 0 KB)
0022.822 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 5000 files added (on-disk size: 0 KB)
0022.891 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 5100 files added (on-disk size: 0 KB)
0022.980 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 5200 files added (on-disk size: 0 KB)
0023.060 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 5300 files added (on-disk size: 0 KB)
0023.156 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 5400 files added (on-disk size: 0 KB)
0023.209 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 5500 files added (on-disk size: 0 KB)
0023.261 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 5600 files added (on-disk size: 0 KB)
0023.313 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 5700 files added (on-disk size: 0 KB)
0023.369 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 5800 files added (on-disk size: 0 KB)
0023.416 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 5900 files added (on-disk size: 0 KB)
0023.480 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 6000 files added (on-disk size: 0 KB)
0023.547 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 6100 files added (on-disk size: 0 KB)
0023.612 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 6200 files added (on-disk size: 0 KB)
0023.659 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 6300 files added (on-disk size: 0 KB)
0023.743 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 6400 files added (on-disk size: 0 KB)
0023.817 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 6500 files added (on-disk size: 0 KB)
0023.906 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 6600 files added (on-disk size: 0 KB)
0023.979 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 6700 files added (on-disk size: 0 KB)
0024.049 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 6800 files added (on-disk size: 0 KB)
0024.112 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 6900 files added (on-disk size: 0 KB)
0024.164 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 7000 files added (on-disk size: 0 KB)
0024.212 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 7100 files added (on-disk size: 0 KB)
0024.260 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 7200 files added (on-disk size: 0 KB)
0024.337 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 7300 files added (on-disk size: 0 KB)
0024.404 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 7400 files added (on-disk size: 0 KB)
0024.445 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 7500 files added (on-disk size: 0 KB)
0024.506 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 7600 files added (on-disk size: 0 KB)
0024.542 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 7700 files added (on-disk size: 0 KB)
0024.575 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 7800 files added (on-disk size: 0 KB)
0024.614 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 7900 files added (on-disk size: 0 KB)
0024.673 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 8000 files added (on-disk size: 0 KB)
0024.767 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 8100 files added (on-disk size: 0 KB)
0024.824 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 8200 files added (on-disk size: 0 KB)
0024.888 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 8300 files added (on-disk size: 0 KB)
0024.955 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 8400 files added (on-disk size: 0 KB)
0025.028 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 8500 files added (on-disk size: 0 KB)
0025.093 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 8600 files added (on-disk size: 0 KB)
0025.168 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 8700 files added (on-disk size: 0 KB)
0025.257 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 8800 files added (on-disk size: 0 KB)
0025.339 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 8900 files added (on-disk size: 0 KB)
0025.402 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 9000 files added (on-disk size: 0 KB)
0025.475 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 9100 files added (on-disk size: 0 KB)
0025.555 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 9200 files added (on-disk size: 0 KB)
0025.627 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 9300 files added (on-disk size: 0 KB)
0025.693 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 9400 files added (on-disk size: 0 KB)
0025.760 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 9500 files added (on-disk size: 0 KB)
0025.842 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 9600 files added (on-disk size: 0 KB)
0025.913 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 9700 files added (on-disk size: 0 KB)
0025.991 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 9800 files added (on-disk size: 0 KB)
0026.051 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 9900 files added (on-disk size: 0 KB)
0026.096 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 10000 files added (on-disk size: 0 KB)
0026.142 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 10100 files added (on-disk size: 0 KB)
0026.198 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 10200 files added (on-disk size: 0 KB)
0026.255 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 10300 files added (on-disk size: 0 KB)
0026.309 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 10400 files added (on-disk size: 0 KB)
0026.360 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 10500 files added (on-disk size: 0 KB)
0026.398 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 10600 files added (on-disk size: 0 KB)
0026.456 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 10700 files added (on-disk size: 0 KB)
0026.525 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 10800 files added (on-disk size: 0 KB)
0026.587 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 10900 files added (on-disk size: 0 KB)
0026.657 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 11000 files added (on-disk size: 0 KB)
0026.732 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 11100 files added (on-disk size: 0 KB)
0026.808 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 11200 files added (on-disk size: 0 KB)
0026.874 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 11300 files added (on-disk size: 0 KB)
0026.926 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 11400 files added (on-disk size: 0 KB)
0026.996 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 11500 files added (on-disk size: 0 KB)
0027.062 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 11600 files added (on-disk size: 0 KB)
0027.135 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 11700 files added (on-disk size: 0 KB)
0027.194 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 11800 files added (on-disk size: 0 KB)
0027.242 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 11900 files added (on-disk size: 0 KB)
0027.306 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 12000 files added (on-disk size: 0 KB)
0027.352 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 12100 files added (on-disk size: 0 KB)
0027.408 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 12200 files added (on-disk size: 0 KB)
0027.470 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 12300 files added (on-disk size: 0 KB)
0027.531 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 12400 files added (on-disk size: 0 KB)
0027.580 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 12500 files added (on-disk size: 0 KB)
0027.633 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 12600 files added (on-disk size: 0 KB)
0027.696 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 12700 files added (on-disk size: 0 KB)
0027.752 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 12800 files added (on-disk size: 0 KB)
0027.806 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 12900 files added (on-disk size: 0 KB)
0027.863 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 13000 files added (on-disk size: 0 KB)
0027.922 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 13100 files added (on-disk size: 0 KB)
0027.992 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 13200 files added (on-disk size: 0 KB)
0028.062 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 13300 files added (on-disk size: 0 KB)
0028.219 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 13400 files added (on-disk size: 0 KB)
0028.324 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 13500 files added (on-disk size: 0 KB)
0028.461 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 13600 files added (on-disk size: 0 KB)
0028.596 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 13700 files added (on-disk size: 0 KB)
0028.714 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 13800 files added (on-disk size: 0 KB)
0028.821 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 13900 files added (on-disk size: 0 KB)
0028.909 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 14000 files added (on-disk size: 0 KB)
0029.048 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 14100 files added (on-disk size: 0 KB)
0029.162 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 14200 files added (on-disk size: 0 KB)
0029.305 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 14300 files added (on-disk size: 0 KB)
0029.420 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 14400 files added (on-disk size: 0 KB)
0029.508 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 14500 files added (on-disk size: 0 KB)
0029.631 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 14600 files added (on-disk size: 0 KB)
0029.743 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 14700 files added (on-disk size: 0 KB)
0029.840 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 14800 files added (on-disk size: 0 KB)
0029.930 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 14900 files added (on-disk size: 0 KB)
0029.992 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 15000 files added (on-disk size: 0 KB)
0030.078 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 15100 files added (on-disk size: 0 KB)
0030.157 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 15200 files added (on-disk size: 0 KB)
0030.237 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 15300 files added (on-disk size: 0 KB)
0030.328 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 15400 files added (on-disk size: 0 KB)
0030.438 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 15500 files added (on-disk size: 0 KB)
0030.644 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 15600 files added (on-disk size: 0 KB)
0030.795 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 15700 files added (on-disk size: 0 KB)
0030.897 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 15800 files added (on-disk size: 0 KB)
0030.965 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 15900 files added (on-disk size: 0 KB)
0031.076 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 16000 files added (on-disk size: 0 KB)
0031.160 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 16100 files added (on-disk size: 0 KB)
0031.259 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 16200 files added (on-disk size: 0 KB)
0031.363 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 16300 files added (on-disk size: 0 KB)
0031.451 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 16400 files added (on-disk size: 0 KB)
0031.543 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 16500 files added (on-disk size: 0 KB)
0031.639 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 16600 files added (on-disk size: 0 KB)
0031.701 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 16700 files added (on-disk size: 0 KB)
0031.810 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 16800 files added (on-disk size: 0 KB)
0031.937 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 16900 files added (on-disk size: 0 KB)
0032.078 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 17000 files added (on-disk size: 0 KB)
0032.190 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 17100 files added (on-disk size: 0 KB)
0032.311 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 17200 files added (on-disk size: 0 KB)
0032.425 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 17300 files added (on-disk size: 0 KB)
0032.544 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 17400 files added (on-disk size: 0 KB)
0032.651 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 17500 files added (on-disk size: 0 KB)
0032.773 (0) Zip: backup_2023-05-26-1523_Flipmart_168577f9f509-plugins.zip.tmp: 17600 files added (on-disk size: 0 KB)
